"","Region","Education","Infant.Mortality"
"1","Neuchatel",32,23
"2","Lausanne",28,20.2
"3","Vevey",19,20.9
"4","Neuveville",15,20.6
"5","Sarine",13,24.4
"6","Avenches",12,22.7
"7","Courtelary",12,22.2
"8","Boudry",12,20.3
"9","La Chauxdfnd",11,20.5
"10","Delemont",9,22.2
"11","Lavaux",9,20
"12","Glane",8,24.9
"13","Payerne",8,23.8
"14","Yverdon",8,22.5
"15","Grandson",8,20
"16","Porrentruy",7,26.6
"17","Broye",7,23.6
"18","Gruyere",7,21
"19","Moutier",7,20.3
"20","Val de Ruz",7,20
"21","Veveyse",6,24.5
"22","Franches-Mnt",5,20.2
"23","Moudon",3,22.4
"24","Monthey",3,20.2
"25","Echallens",2,21.2
"26","Oron",1,21
